dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,random,50,0.03157894736842104,0.25,0.25
adult,random,100,0.03597560975609759,0.44999999999999996,0.44999999999999996
adult,random,150,0.02261904761904765,0.24060150375939848,0.24060150375939848
adult,random,200,0.004166666666666652,0.23931623931623935,0.23931623931623935
adult,random,250,0.026395631067961167,0.25,0.25
adult,random,300,0.0013683634373289344,0.13896103896103895,0.13896103896103895
adult,random,350,0.020357420357420386,0.09674796747967485,0.09674796747967485
adult,random,400,0.0026235066193089907,0.0482352941176471,0.0482352941176471
adult,random,450,0.004891171435558839,0.07880133185349614,0.07880133185349614
adult,random,500,0.030490177008364205,0.054187192118226646,0.054187192118226646
adult,random,550,0.04048964218455742,0.05529953917050695,0.05529953917050695
adult,random,600,0.05526576427863983,0.05555555555555558,0.05555555555555558
adult,random,650,0.04820400100164152,0.01280227596017075,0.04820400100164152
adult,random,700,0.05125044872561929,0.017598024081506625,0.05125044872561929
adult,random,750,0.05985590628725446,0.022978959025470647,0.05985590628725446
adult,random,800,0.0574988065072895,0.058685994856207624,0.058685994856207624
adult,random,850,0.0585232317253625,0.06127450980392163,0.06127450980392163
adult,random,900,0.05173186025679305,0.03304347826086962,0.05173186025679305
adult,random,950,0.05176661702991747,0.008064516129032251,0.05176661702991747
adult,random,1000,0.05107526881720431,0.003759398496240629,0.05107526881720431
adult,random,1050,0.04685771744595274,0.009523809523809545,0.04685771744595274
adult,random,1100,0.03284671532846717,0.0021481062747314983,0.03284671532846717
adult,random,1150,0.027927523210542093,0.018809713375796178,0.027927523210542093
adult,random,1200,0.03478821554066919,0.018708827404479544,0.03478821554066919
adult,random,1250,0.027591340737164016,0.0031565656565657463,0.027591340737164016
adult,random,1300,0.03578947368421054,0.008089133089133171,0.03578947368421054
adult,random,1350,0.03714578142607544,0.01040231468724162,0.03714578142607544
adult,random,1400,0.037792812571109946,0.003707965733282248,0.037792812571109946
adult,random,1450,0.038785672667423554,0.0012804842558640228,0.038785672667423554
adult,random,1500,0.041122936650510145,0.015312255030049626,0.041122936650510145
adult,random,1550,0.04980187606896619,0.026548672566371723,0.04980187606896619
adult,random,1600,0.0363951124262738,0.0019667441444662925,0.0363951124262738
adult,random,1650,0.03119369369369368,0.0033927794693345836,0.03119369369369368
adult,random,1700,0.01955636294523372,0.017773195876288672,0.01955636294523372
adult,random,1750,0.015372046254399196,0.003076923076923088,0.015372046254399196
adult,random,1800,0.009748365837817186,0.02059925093632964,0.02059925093632964
adult,random,1850,0.0064945300332138745,0.006385052256611901,0.0064945300332138745
adult,random,1900,0.0059128258187468585,0.015288482887683585,0.015288482887683585
adult,random,1950,0.002027355787424967,0.009541062801932343,0.009541062801932343
adult,random,2000,0.000972935148839893,0.005856255545696576,0.005856255545696576
adult,random,2050,0.0018428776192751517,0.00830564784053156,0.00830564784053156
adult,random,2100,0.0036097335947410936,0.008143322475570036,0.008143322475570036
adult,random,2150,0.0015950529839802718,0.011341375399525733,0.011341375399525733
adult,random,2200,0.004775243783198102,0.0069815590543598205,0.0069815590543598205
adult,random,2250,0.00730161541283475,0.007692307692307665,0.007692307692307665
adult,random,2300,0.010246090995306767,0.008132576338806263,0.010246090995306767
adult,random,2350,0.011315777884399247,0.0006190628669014986,0.011315777884399247
adult,random,2400,0.010962821734985695,0.0005286379440050393,0.010962821734985695
adult,random,2450,0.008268513653779619,0.002762430939226568,0.008268513653779619
adult,random,2500,0.00977764730878622,0.005596735549565746,0.00977764730878622
adult,random,2550,0.00717888500440339,0.010204081632653073,0.010204081632653073
adult,random,2600,0.0068293844505298296,0.01871465295629826,0.01871465295629826
adult,random,2650,0.009354445307120984,0.01468633705475808,0.01468633705475808
adult,random,2700,0.006409962267347691,0.02440033085194382,0.02440033085194382
adult,random,2750,0.0022582567245488794,0.029518431804618273,0.029518431804618273
adult,random,2800,0.00041517996612788766,0.03897771035126624,0.03897771035126624
adult,random,2850,0.0007244794978629732,0.043350707795721866,0.043350707795721866
adult,random,2900,0.0055005920193352265,0.04554419939035326,0.04554419939035326
adult,random,2950,0.006961591473616691,0.03488372093023251,0.03488372093023251
adult,random,3000,0.010644068374223603,0.030658120666378297,0.030658120666378297
adult,random,3050,0.01080864031155293,0.03664673642252114,0.03664673642252114
adult,random,3100,0.010439222605394649,0.034761202549709824,0.034761202549709824
adult,random,3150,0.011915642382483937,0.03154997176736307,0.03154997176736307
adult,random,3200,0.014567131774240294,0.026927574111011765,0.026927574111011765
adult,random,3250,0.011057100776415418,0.03402592556005568,0.03402592556005568
adult,random,3250,0.005054394879568658,0.0053468725817996665,0.0053468725817996665
