dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,biased,50,0.05263157894736842,0.16666666666666666,0.16666666666666666
adult,biased,100,0.026219512195121947,0.024999999999999994,0.026219512195121947
adult,biased,150,0.0035714285714285657,0.06766917293233082,0.06766917293233082
adult,biased,200,0.009166666666666663,0.04700854700854701,0.04700854700854701
adult,biased,250,0.003539644012944987,0.04999999999999999,0.04999999999999999
adult,biased,300,0.004105090311986866,0.027272727272727254,0.027272727272727254
adult,biased,350,0.0029008029008028985,0.022764227642276424,0.022764227642276424
adult,biased,400,0.009686793671294797,0.1035294117647059,0.1035294117647059
adult,biased,450,0.006358522866226457,0.09711431742508325,0.09711431742508325
adult,biased,500,0.004619723789146081,0.07290640394088668,0.07290640394088668
adult,biased,550,0.009730069052102948,0.05622119815668203,0.05622119815668203
adult,biased,600,0.01437768240343347,0.06190476190476191,0.06190476190476191
adult,biased,650,0.013118722350518905,0.058321479374110974,0.058321479374110974
adult,biased,700,0.01212157472777313,0.03766594627971598,0.03766594627971598
adult,biased,750,0.014813662986575445,0.027962347729789616,0.027962347729789616
adult,biased,800,0.01408321398406228,0.023147065700257152,0.023147065700257152
adult,biased,850,0.014353358981947319,0.017156862745098034,0.017156862745098034
adult,biased,900,0.009390862944162442,0.01043478260869568,0.01043478260869568
adult,biased,950,0.00919859212129416,0.004480286738351269,0.00919859212129416
adult,biased,1000,0.009169244365885995,0.022556390977443608,0.022556390977443608
adult,biased,1050,0.0065527065527065526,0.02857142857142858,0.02857142857142858
adult,biased,1100,0.006092820870056838,0.033013001695873345,0.033013001695873345
adult,biased,1150,0.002395926924228811,0.05135350318471338,0.05135350318471338
adult,biased,1200,0.0022892108497342967,0.0787878787878788,0.0787878787878788
adult,biased,1250,0.0024183164332850435,0.058080808080808066,0.058080808080808066
adult,biased,1300,0.002456140350877191,0.05570818070818068,0.05570818070818068
adult,biased,1350,0.0028189302538760286,0.05924497106640947,0.05924497106640947
adult,biased,1400,0.002737030354115322,0.04622171077867282,0.04622171077867282
adult,biased,1450,0.0029463175535653086,0.045166171934113264,0.045166171934113264
adult,biased,1500,0.0027822029398140297,0.05220799581917951,0.05220799581917951
adult,biased,1550,8.764195340635328e-05,0.052212389380530966,0.052212389380530966
adult,biased,1600,0.00022897920566861824,0.045771500089397454,0.045771500089397454
adult,biased,1650,0.00015015015015015093,0.04680295780774246,0.04680295780774246
adult,biased,1700,0.0005392420113727037,0.05496907216494845,0.05496907216494845
adult,biased,1750,0.0006284565108094567,0.05384615384615382,0.05384615384615382
adult,biased,1800,0.0010089995610454636,0.03957317504063315,0.03957317504063315
adult,biased,1850,0.001202829746110981,0.06099405181973991,0.06099405181973991
adult,biased,1900,0.001343985664152919,0.06074158657658518,0.06074158657658518
adult,biased,1950,0.004230415743093477,0.05954106280193239,0.05954106280193239
adult,biased,2000,0.004188893202394475,0.06095829636202307,0.06095829636202307
adult,biased,2050,0.004158988009919689,0.06386756787719094,0.06386756787719094
adult,biased,2100,0.0029610194902548737,0.05360790592392206,0.05360790592392206
adult,biased,2150,0.004259469330160751,0.03340550572223938,0.03340550572223938
adult,biased,2200,0.0041277978911762395,0.030622562472916365,0.030622562472916365
adult,biased,2250,0.003214380589745859,0.0329471733086191,0.0329471733086191
adult,biased,2300,0.004458575493033093,0.03621298143317475,0.03621298143317475
adult,biased,2350,0.0032936748000268884,0.04228839790799446,0.04228839790799446
adult,biased,2400,0.0024993134980789145,0.052416485370961496,0.052416485370961496
adult,biased,2450,0.0012995971996189806,0.04135864913236326,0.04135864913236326
adult,biased,2500,0.001513964915017811,0.0405810122791255,0.0405810122791255
adult,biased,2550,0.0015567594495298556,0.03000358037952025,0.03000358037952025
adult,biased,2600,0.0007143707584236214,0.03425878320479861,0.03425878320479861
adult,biased,2650,0.0008597263524896398,0.027312599681020733,0.027312599681020733
adult,biased,2700,0.0008153641430381706,0.024607113316790746,0.024607113316790746
adult,biased,2750,0.0018530813755532859,0.025708121011798202,0.025708121011798202
adult,biased,2800,0.0037744380683032673,0.0314505776636714,0.0314505776636714
adult,biased,2850,0.00655511580599135,0.03704178415790821,0.03704178415790821
adult,biased,2900,0.006407693810041134,0.033171956248879364,0.033171956248879364
adult,biased,2950,0.007247573209113085,0.033496906336675875,0.033496906336675875
adult,biased,3000,0.0064516174837626825,0.032335863054277575,0.032335863054277575
adult,biased,3050,0.007265579018586463,0.03231190832087691,0.03231190832087691
adult,biased,3100,0.007263346432485895,0.039720293026353326,0.039720293026353326
adult,biased,3150,0.006421568943402792,0.03585544889892714,0.03585544889892714
adult,biased,3200,0.007316319941604196,0.03974367792374536,0.03974367792374536
adult,biased,3250,0.00648952354399384,0.04267509631532157,0.04267509631532157
adult,biased,3250,0.009997258865024575,0.00943395745978931,0.009997258865024575
