dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,unbiased,50,0.05789473684210525,0.16666666666666666,0.16666666666666666
adult,unbiased,100,0.0030487804878048808,0.024999999999999994,0.024999999999999994
adult,unbiased,150,0.02738095238095238,0.06766917293233082,0.06766917293233082
adult,unbiased,200,0.0325,0.04700854700854701,0.04700854700854701
adult,unbiased,250,0.03387944983818769,0.04999999999999999,0.04999999999999999
adult,unbiased,300,0.03420908593322386,0.0727272727272727,0.0727272727272727
adult,unbiased,350,0.03822843822843823,0.05609756097560975,0.05609756097560975
adult,unbiased,400,0.026235066193090087,0.13294117647058826,0.13294117647058826
adult,unbiased,450,0.03741746148202495,0.1265260821309656,0.1265260821309656
adult,unbiased,500,0.03676327562730987,0.10147783251231526,0.10147783251231526
adult,unbiased,550,0.01914626490897678,0.08479262672811061,0.08479262672811061
adult,unbiased,600,0.015500165070980523,0.0896825396825397,0.0896825396825397
adult,unbiased,650,0.010405943073370241,0.08463726884779516,0.08463726884779516
adult,unbiased,700,0.006066770372143121,0.06205619018215497,0.06205619018215497
adult,unbiased,750,0.0022080547348779372,0.051218161683277974,0.051218161683277974
adult,unbiased,800,0.001322022694722924,0.044423661444938034,0.044423661444938034
adult,unbiased,850,0.002762158429515632,0.03799019607843135,0.03799019607843135
adult,unbiased,900,0.0016572111077933632,0.030434782608695643,0.030434782608695643
adult,unbiased,950,0.0023554893732232324,0.01403823178016722,0.01403823178016722
adult,unbiased,1000,0.00287229341581971,0.032894736842105254,0.032894736842105254
adult,unbiased,1050,0.0005362828892240684,0.03809523809523807,0.03809523809523807
adult,unbiased,1100,0.0003028742768876602,0.042509892594686294,0.042509892594686294
adult,unbiased,1150,0.0005615453728661235,0.06060907643312102,0.06060907643312102
adult,unbiased,1200,0.0005625659933184424,0.08722002635046111,0.08722002635046111
adult,unbiased,1250,0.0002213101561242617,0.06628787878787878,0.06628787878787878
adult,unbiased,1300,0.004210526315789477,0.0641025641025641,0.0641025641025641
adult,unbiased,1350,0.002880960503961326,0.06716726370901077,0.06716726370901077
adult,unbiased,1400,0.0028075393327927634,0.06648766142437024,0.06648766142437024
adult,unbiased,1450,0.0030003784261078,0.0644316396018858,0.0644316396018858
adult,unbiased,1500,0.001259758894575698,0.0700287431408414,0.0700287431408414
adult,unbiased,1550,0.000605526223534783,0.07000983284169127,0.07000983284169127
adult,unbiased,1600,0.0008152666223805796,0.06284641516180944,0.06284641516180944
adult,unbiased,1650,0.004054054054054054,0.06372335798173118,0.06372335798173118
adult,unbiased,1700,0.006031112496049609,0.07158762886597936,0.07158762886597936
adult,unbiased,1750,0.0035067873303167435,0.07,0.07
adult,unbiased,1800,0.0064571999467693125,0.05469578121687513,0.05469578121687513
adult,unbiased,1850,0.006738473663470385,0.07567967200994727,0.07567967200994727
adult,unbiased,1900,0.006679039868019182,0.07485647223015193,0.07485647223015193
adult,unbiased,1950,0.010897037357409309,0.07346014492753625,0.07346014492753625
adult,unbiased,2000,0.01096588975638279,0.07494824016563151,0.07494824016563151
adult,unbiased,2050,0.010811548699747459,0.07778668805132319,0.07778668805132319
adult,unbiased,2100,0.010768654134471221,0.06729972947606694,0.06729972947606694
adult,unbiased,2150,0.013245995075118283,0.046654294257139906,0.046654294257139906
adult,unbiased,2200,0.012742792209508205,0.04302084837979686,0.04302084837979686
adult,unbiased,2250,0.011765822064237014,0.04531974050046342,0.04531974050046342
adult,unbiased,2300,0.014116188021301948,0.04541967162804969,0.04541967162804969
adult,unbiased,2350,0.011694747504247476,0.05133952396200234,0.05133952396200234
adult,unbiased,2400,0.01205452722901034,0.06144399487627841,0.06144399487627841
adult,unbiased,2450,0.011652592146460437,0.054198116878063946,0.054198116878063946
adult,unbiased,2500,0.011687809143937522,0.053328092243186576,0.053328092243186576
adult,unbiased,2550,0.01068678296401069,0.04251700680272108,0.04251700680272108
adult,unbiased,2600,0.011001309679723778,0.04654670094258784,0.04654670094258784
adult,unbiased,2650,0.01198031876712128,0.03947368421052633,0.03947368421052633
adult,unbiased,2700,0.011713358912000683,0.03143093465674113,0.03143093465674113
adult,unbiased,2750,0.012577459993190328,0.03241059541844554,0.03241059541844554
adult,unbiased,2800,0.014278902280612328,0.03778153810246235,0.03778153810246235
adult,unbiased,2850,0.01697464954490665,0.04329374234526759,0.04329374234526759
adult,unbiased,2900,0.016621553165777625,0.039268423883808495,0.039268423883808495
adult,unbiased,2950,0.017287890737287447,0.03947087689353532,0.03947087689353532
adult,unbiased,3000,0.015501773538073561,0.036071461339834604,0.036071461339834604
adult,unbiased,3050,0.016987854718672826,0.03552566018933728,0.03552566018933728
adult,unbiased,3100,0.017810837543775222,0.042895538007801326,0.042895538007801326
adult,unbiased,3150,0.016790311249186264,0.03917278373800115,0.03917278373800115
adult,unbiased,3200,0.01750189505600943,0.04094733704748149,0.04094733704748149
adult,unbiased,3250,0.016519889204734864,0.0437068501871426,0.0437068501871426
adult,unbiased,3250,0.020103733103868947,0.007596411635727718,0.020103733103868947
