dataset,f_0,m_val,eo_val_0,eo_val_1,overall_eo_val
adult,unbiased,50,0.05789473684210525,0.16666666666666666,0.16666666666666666
adult,unbiased,100,0.0030487804878048808,0.024999999999999994,0.024999999999999994
adult,unbiased,150,0.02738095238095238,0.06766917293233082,0.06766917293233082
adult,unbiased,200,0.0325,0.04700854700854701,0.04700854700854701
adult,unbiased,250,0.03387944983818769,0.04999999999999999,0.04999999999999999
adult,unbiased,300,0.03420908593322386,0.0727272727272727,0.0727272727272727
adult,unbiased,350,0.03822843822843823,0.05609756097560975,0.05609756097560975
adult,unbiased,400,0.026235066193090087,0.13294117647058826,0.13294117647058826
adult,unbiased,450,0.03741746148202495,0.1265260821309656,0.1265260821309656
adult,unbiased,500,0.0320462944952344,0.10147783251231526,0.10147783251231526
adult,unbiased,550,0.014908976773383556,0.08479262672811061,0.08479262672811061
adult,unbiased,600,0.011654011224826677,0.0896825396825397,0.0896825396825397
adult,unbiased,650,0.006872374168776604,0.08463726884779516,0.08463726884779516
adult,unbiased,700,0.006437716884049302,0.06205619018215497,0.06205619018215497
adult,unbiased,750,0.0025397812678173426,0.051218161683277974,0.051218161683277974
adult,unbiased,800,0.0010006977341999873,0.044423661444938034,0.044423661444938034
adult,unbiased,850,0.0023922264969912233,0.03799019607843135,0.03799019607843135
adult,unbiased,900,0.0012541057031949937,0.030434782608695643,0.030434782608695643
adult,unbiased,950,0.004365777717612027,0.01403823178016722,0.01403823178016722
adult,unbiased,1000,0.00475033141847106,0.032894736842105254,0.032894736842105254
adult,unbiased,1050,0.0023294788000670363,0.03809523809523807,0.03809523809523807
adult,unbiased,1100,0.002019161845917758,0.042509892594686294,0.042509892594686294
adult,unbiased,1150,0.0010482180293501092,0.06060907643312102,0.06060907643312102
adult,unbiased,1200,0.0009866542036661985,0.08722002635046111,0.08722002635046111
adult,unbiased,1250,0.0012554321583775896,0.06628787878787878,0.06628787878787878
adult,unbiased,1300,0.0056140350877193,0.0641025641025641,0.0641025641025641
adult,unbiased,1350,0.004228395380814043,0.06716726370901077,0.06716726370901077
adult,unbiased,1400,0.004105545531172976,0.06648766142437024,0.06648766142437024
adult,unbiased,1450,0.004258795403624477,0.0644316396018858,0.0644316396018858
adult,unbiased,1500,0.002485622931001366,0.0700287431408414,0.0700287431408414
